DATA ĐH 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,AUTO,,,,,,,,
,,,MÔ TẢ SẢN PHẨM,,,,,,TỈ LỆ SIZE,,,,,,,,,,,,,,,,,THÔNG TIN NHẬP HÀNG,,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,Màu,LOẠI SP,CHẤT LIỆU,S / 29,M / 30,L / 31,XL / 32,XXL / 34,SL ĐẶT HÀNG (pcs),"ĐƠN GIÁ
(VNĐ)",TỔNG GIÁ TRỊ,NHÀ MÁY,TIMELINE NHẬP KHO,NGÀY GỬI PO,NGÀY GIAO HÀNG DỰ KIẾN,⚠️ Phân loại đơn hàng,Quý,Tuần,Mã Đơn Đặt Hàng,Trạng Thái,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Giá Trị Nhập Hàng thực tế,
11,NEW IN,NEWIN,BASIC DIAMOND,,PO166,XANH KHÓI,,,,150,200,150,100,600,127.440 đ,76.464.000 đ,AT,Tháng 3,08/12/2025 ( RV),12/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,11_PO166_XANH KHÓI,,13/03/2026,20/03/2026,563,"93,83%",Trễ hạn,Hoàn thành(thiếu),HOÀN THÀNH,71.748.720 đ,
12,NEW IN,NEWIN,BASIC DIAMOND,,PO166,XANH DENIM,,,,150,200,150,100,600,127.440 đ,76.464.000 đ,AT,Tháng 3,08/12/2025 ( RV),10/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,12_PO166_XANH DENIM,,11/03/2026,10/03/2026,537,"89,50%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,68.435.280 đ,
13,NEW IN,NEWIN,BASIC DIAMOND,,PO166,XANH MINT,,,,150,200,150,100,600,127.440 đ,76.464.000 đ,AT,Tháng 3,08/12/2025 ( RV),12/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,13_PO166_XANH MINT,,13/03/2026,11/03/2026,579,"96,50%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,73.787.760 đ,
14,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,ĐỎ NÂU,,,,190,190,150,100,630,127.440 đ,80.287.200 đ,AT,Tháng 5,"08/12/2025 ( RV)
17/3/2026 ( RV)",11/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 2,14_PO166_ĐỎ NÂU,,12/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
15,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,NAVY NEW,,,,190,190,150,100,630,127.440 đ,80.287.200 đ,AT,Tháng 5,"08/12/2025 ( RV)
17/3/2026 ( RV)",18/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 3,15_PO166_NAVY NEW,,19/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
16,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,TRẮNG NEW,,,,190,190,150,100,630,127.440 đ,80.287.200 đ,AT,Tháng 5,"08/12/2025 ( RV)
17/3/2026 ( RV)",15/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 2,16_PO166_TRẮNG NEW,,16/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
17,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,CÀ PHÊ,,,,190,190,150,100,630,127.440 đ,80.287.200 đ,AT,Tháng 5,"08/12/2025 ( RV)
17/3/2026 ( RV)",14/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 2,17_PO166_CÀ PHÊ,,15/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
18,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,BE ,,,,190,190,150,100,630,127.440 đ,80.287.200 đ,AT,Tháng 5,"08/12/2025 ( RV)
17/3/2026 ( RV)",16/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 2,18_PO166_BE ,,17/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
19,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐỎ NÂU,,,,225,225,200,150,800,112.860 đ,90.288.000 đ,TLN,Tháng 3,12/11/2025,12/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,19_PO88_ĐỎ NÂU,,13/03/2026,12/03/2026,810,"101,25%",Đúng hạn,Hoàn thành,,91.416.600 đ,
20,NEW IN,NEWIN,BASIC SYMBOL,,PO88,XÁM ĐẬM NEW,,,,225,225,200,150,800,112.860 đ,90.288.000 đ,TLN,Tháng 3,08/12/2025,19/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,20_PO88_XÁM ĐẬM NEW,,20/03/2026,19/03/2026,817,"102,13%",Đúng hạn,Hoàn thành,,92.206.620 đ,
